status,priority,lead_type,segment,name,url,public_contact,why_relevant,opening_angle,first_action,notes
new,P0,service_partner,TikTok Shop 代运营,TikAvi,https://tikavi.com/,,面向中国商家提供美国/日本 TikTok Shop 店铺开通、商品上架、达人推广和增长服务,给其客户免费做 3 个 SKU 海外模特图作为增值服务,找官网咨询入口或商务联系人,优先联系
new,P0,service_partner,TikTok Shop 陪跑/建站/资源,RunLink 跑联,https://runlink.com.cn/,,服务 TikTok Shop 全站点陪跑、物流、海外仓、建站和跨境资源,把 Joii 包装成陪跑客户的商品图测款工具,联系咨询入口,优先联系
new,P0,service_partner,TikTok/社媒代运营,陌客全球营销,https://www.hbco.com.cn/,,提供 TikTok 代运营、Facebook/Instagram/Google 推广等全球营销服务,广告素材和商品图是其客户共同痛点,联系商务合作,可走联合案例
new,P0,service_partner,TikTok Shop 内容电商,HollyGlobe 荷里购,https://hollyglobe.com/,,TikTok 官方电商伙伴和商务伙伴，提供短视频制作与达人支持,用 Joii 降低短视频前置商品视觉素材成本,申请免费服务或商务合作入口,很适合内容素材共创
new,P0,service_partner,Shopify 独立站开发,WESWOO,https://www.weswoo.com/cn/contact/,sales@weswoo.com; info@weswoo.com; business@weswoo.com; 微信 gzxxmu,Shopify Plus/独立站定制开发，强调品牌化和设计,给其建站客户提供首批商品图/广告图测试,发邮件或加微信,已有公开联系方式
new,P0,service_partner,Amazon/Shopify/eBay 代运营,Bizistech 明亮星,https://www.bizistech.cn/,info@bizistech.cn; +86 18126270479,亚马逊官方认证服务商，累计服务大量品牌和卖家,用 AI 商品图帮助其客户降低摄影成本并提升上新速度,邮件+电话/微信触达,公开联系方式完整
new,P1,service_partner,Shopify/WooCommerce 独立站,华数出海,https://www.hascom.cn/,,专注 Shopify 与 WooCommerce 电商独立站,面向其客户提供落地页和广告素材生成,联系官网表单,适合建站生态合作
new,P1,service_partner,Shopify 独立站,ShopToFly,https://shoptofly.com/,,面向中小卖家提供独立站建站、技术支持、支付和 ERP 集成,帮助其客户低成本准备商品视觉素材,联系 Telegram/Whatsapp/微信入口,中小卖家匹配
new,P1,service_partner,Shopify/WooCommerce 独立站,六翼出海,https://ecommerce.sixe.cn/,,跨境电商和品牌运营，提供独立站服务,把 Joii 作为独立站商品页素材补充,联系官网,与华数类似
new,P1,service_partner,Shopify 定制/代运营,AdLink 艾德领客,https://www.iadlink.com/shopify/,,Shopify 优质合作伙伴，提供定制设计和增长运营,主打“建站后持续素材生产”,联系官网体验/咨询入口,适合设计服务合作
new,P1,service_partner,Amazon 代运营/海外仓,仲祥科技,https://www.zxamz.com/,,亚马逊代运营、物流和欧美海外仓,给亚马逊客户提供主图/场景图诊断,联系增长方案入口,服装类客户优先
new,P1,service_partner,跨境全周期服务,华品无疆,https://www.huapinwujiang.com/,,AI 驱动跨境电商全周期服务商，服务工厂/外贸企业/品牌,把 Joii 作为产品出海视觉环节插件,联系合作入口,可能重视 AI 合作
new,P1,service_partner,智能出海服务,跨智寰宇 Xport,https://www.xport-e.com/,,AI 驱动跨境电商智能服务平台，面向传统外贸转跨境,为外贸企业快速生成海外商品图,联系专家入口,适合工厂出海
new,P1,service_partner,跨境物流/卖家资源,赤兔猫供应链,https://www.szctc.com/,,专注跨境物流，服务亚马逊/Shopify/独立站卖家，累计服务客户多,物流商有卖家池，可联合做“客户素材福利”,联系官网注册/咨询入口,渠道型合作
