status,priority,segment,source_platform,source_keyword,name_or_handle,url_or_contact,why_relevant,first_message_date,last_followup_date,replied,sent_product_image,images_generated,feedback_call,product_fit_score,payment_signal,next_step,notes
new,high,TikTok Shop 服装卖家,小红书,TikTok Shop 女装,,,,,,,,,,,,,
new,high,独立站服装品牌,小红书,Shopify 独立站 女装,,,,,,,,,,,,,
new,high,跨境服务商,搜索,TikTok Shop 代运营,RunLink 跑联,https://runlink.com.cn/,TikTok Shop 陪跑、建站、物流、海外仓服务,,,,,,,,,找商务入口，尝试服务商联合内测,
new,high,跨境服务商,搜索,TikTok Shop 代运营,TikAvi,https://tikavi.com/,面向中国商家的美国与日本 TikTok Shop 代运营,,,,,,,,,尝试免费给其客户做 3 个 SKU 样图,
new,medium,跨境服务商,搜索,独立站建站 TikTok 代运营,DTCStart,https://www.dtcstart.com/,独立站建站、TikTok 代运营和推广,,,,,,,,,适合合作做素材增值服务,
new,medium,跨境服务商,搜索,跨境独立站建站,2Cshop,https://www.2cshops.com/,跨境独立站建站平台，有大量品牌和企业客户,,,,,,,,,寻找渠道合作或内容合作,
new,medium,跨境服务商,搜索,跨境独立站建站,Ueeshop,https://www.ueeshop.com/,跨境独立站建站平台,,,,,,,,,研究是否有服务商生态或客户案例合作,
new,medium,跨境服务商,搜索,TikTok 全球推广 代运营,陌客全球营销,https://www.hbco.com.cn/,TikTok、Facebook、Instagram、Google 全球推广与代运营,,,,,,,,,寻找商务合作入口,
new,medium,跨境服务商,搜索,Amazon TikTok 代运营,三十六计电商,https://www.gmvplus.com/,Amazon、TikTok、eBay、独立站代运营,,,,,,,,,适合联合客户素材诊断,
new,low,竞品研究,搜索,AI 电商图像智能体,FigCraft Vision,https://figcraft.qinaxis.com/,竞品，研究电商图像智能体定位、价格和能力,,,,,,,,,不要作为用户触达，作为话术参考,
new,low,竞品研究,搜索,跨境 AI 设计智能体,Flyelep 飞象 Agent,https://agent.bextai.com/,竞品，强调 Amazon、Shopee、TikTok 等平台适配,,,,,,,,,研究跨境平台表达,
new,low,竞品研究,搜索,电商生图 商品图精修,Shopix AI,https://shopix-ai.company/zh,竞品，覆盖 Amazon、TikTok Shop、淘宝等平台,,,,,,,,,研究用户评论和渠道,
new,low,竞品研究,搜索,AI 商品图 视频,ShopSight,https://wanjia.art/,竞品，强调成本下降和上新效率,,,,,,,,,研究卖点和案例表达,
